"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKNIFTY","EQ","26-Apr-2023","189.42","189.33","189.85","188.91","189.24","189.72","189.48","9,837","18,63,867.79","234","8,256","83.93"
"KOTAKNIFTY","EQ","27-Apr-2023","189.72","189.73","191.20","189.58","191.03","190.94","190.47","27,709","52,77,808.83","321","25,112","90.63"
"KOTAKNIFTY","EQ","28-Apr-2023","190.94","191.59","193.06","190.49","191.78","192.40","191.25","28,062","53,66,774.41","396","23,772","84.71"
"KOTAKNIFTY","EQ","02-May-2023","192.40","194.04","194.04","192.50","193.51","193.44","193.38","35,330","68,32,064.35","643","26,036","73.69"
"KOTAKNIFTY","EQ","03-May-2023","193.44","193.51","193.51","192.35","193.04","192.98","192.91","19,184","37,00,756.87","365","14,488","75.52"
"KOTAKNIFTY","EQ","04-May-2023","192.98","193.49","194.59","192.60","194.40","194.43","193.54","68,190","1,31,97,753.20","359","47,709","69.96"
"KOTAKNIFTY","EQ","05-May-2023","194.43","195.99","195.99","192.42","193.48","192.65","193.47","35,273","68,24,197.07","452","25,494","72.28"
"KOTAKNIFTY","EQ","08-May-2023","192.65","192.65","194.88","192.00","194.25","194.54","194.33","15,992","31,07,804.23","552","10,822","67.67"
"KOTAKNIFTY","EQ","09-May-2023","194.54","194.99","195.43","194.18","194.31","195.39","195.35","5,50,577","10,75,57,609.78","416","4,89,467","88.90"
"KOTAKNIFTY","EQ","10-May-2023","195.39","196.59","196.59","194.28","195.08","195.03","194.70","12,183","23,72,035.37","385","9,060","74.37"
"KOTAKNIFTY","EQ","11-May-2023","195.03","196.48","196.48","194.79","195.00","194.99","195.13","61,732","1,20,45,638.33","638","58,700","95.09"
"KOTAKNIFTY","EQ","12-May-2023","194.99","194.99","195.55","193.83","195.35","195.15","194.95","21,680","42,26,590.71","401","15,557","71.76"
"KOTAKNIFTY","EQ","15-May-2023","195.15","196.45","196.56","194.99","196.00","195.89","196.05","36,319","71,20,343.39","666","32,784","90.27"
"KOTAKNIFTY","EQ","16-May-2023","195.89","196.29","196.73","194.61","195.00","195.00","195.67","48,181","94,27,356.23","469","36,210","75.15"
"KOTAKNIFTY","EQ","17-May-2023","195.00","195.07","195.30","193.66","193.81","194.12","194.27","53,234","1,03,41,994.18","417","35,880","67.40"
"KOTAKNIFTY","EQ","18-May-2023","194.12","195.34","195.49","193.48","194.28","193.97","194.57","5,319","10,34,891.71","262","3,167","59.54"
"KOTAKNIFTY","EQ","19-May-2023","193.97","194.57","194.57","193.40","194.50","194.49","193.95","16,285","31,58,487.88","312","13,035","80.04"
"KOTAKNIFTY","EQ","22-May-2023","194.49","196.25","196.25","193.00","195.86","195.47","195.30","14,733","28,77,357.40","532","10,981","74.53"
"KOTAKNIFTY","EQ","23-May-2023","195.47","196.75","196.75","195.69","196.02","196.09","196.36","32,680","64,17,109.38","330","26,212","80.21"
"KOTAKNIFTY","EQ","24-May-2023","196.09","195.72","196.40","195.00","195.70","195.38","195.88","12,518","24,52,084.37","388","7,908","63.17"
"KOTAKNIFTY","EQ","25-May-2023","195.38","195.38","196.76","194.41","195.73","195.52","195.14","7,951","15,51,552.75","315","4,918","61.85"
"KOTAKNIFTY","EQ","26-May-2023","195.52","196.24","197.58","195.87","197.56","197.48","196.71","61,706","1,21,38,056.99","382","55,836","90.49"
