"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKNIFTY","EQ","26-May-2021","158.77","160.00","160.00","158.62","159.50","159.54","159.27","41,793","66,56,513.68","277","29,840","71.40"
"KOTAKNIFTY","EQ","27-May-2021","159.54","159.32","160.70","159.31","160.45","160.20","159.78","27,805","44,42,590.30","287","12,863","46.26"
"KOTAKNIFTY","EQ","28-May-2021","160.20","160.30","161.95","160.30","161.15","161.09","161.00","51,399","82,75,420.05","344","39,952","77.73"
"KOTAKNIFTY","EQ","31-May-2021","161.09","185.30","185.30","160.45","162.71","162.77","162.12","33,504","54,31,729.40","481","22,285","66.51"
"KOTAKNIFTY","EQ","01-Jun-2021","162.77","162.40","163.56","162.39","163.10","163.01","163.00","47,287","77,07,823.23","409","33,323","70.47"
"KOTAKNIFTY","EQ","02-Jun-2021","163.01","162.74","163.59","162.03","163.31","163.39","162.39","20,715","33,63,896.18","377","15,369","74.19"
"KOTAKNIFTY","EQ","03-Jun-2021","163.39","163.60","164.41","163.09","164.41","164.08","163.96","1,51,530","2,48,44,941.77","529","1,16,241","76.71"
"KOTAKNIFTY","EQ","04-Jun-2021","164.08","188.70","188.70","163.60","164.18","164.05","164.20","16,759","27,51,870.84","351","9,442","56.34"
"KOTAKNIFTY","EQ","07-Jun-2021","164.05","178.80","178.80","164.05","164.65","164.69","164.60","28,867","47,51,565.01","469","18,753","64.96"
"KOTAKNIFTY","EQ","08-Jun-2021","164.69","168.86","168.86","164.00","164.77","164.58","164.56","31,793","52,31,931.38","392","13,681","43.03"
"KOTAKNIFTY","EQ","09-Jun-2021","164.58","153.10","165.10","149.80","163.56","163.70","164.15","45,679","74,98,332.40","518","25,956","56.82"
"KOTAKNIFTY","EQ","10-Jun-2021","163.70","178.40","178.40","152.20","164.87","164.59","164.32","75,301","1,23,73,274.43","398","66,785","88.69"
"KOTAKNIFTY","EQ","11-Jun-2021","164.59","165.39","165.87","165.00","165.53","165.42","165.46","19,444","32,17,263.12","365","7,195","37.00"
"KOTAKNIFTY","EQ","14-Jun-2021","165.42","169.75","169.75","163.61","165.45","165.61","164.81","83,599","1,37,77,612.58","518","62,853","75.18"
"KOTAKNIFTY","EQ","15-Jun-2021","165.61","166.41","166.49","165.38","166.30","166.25","166.20","23,586","39,20,084.61","418","19,223","81.50"
"KOTAKNIFTY","EQ","16-Jun-2021","166.25","166.25","166.47","165.24","165.49","165.54","165.79","1,77,776","2,94,74,162.80","453","45,811","25.77"
"KOTAKNIFTY","EQ","17-Jun-2021","165.54","175.50","175.50","164.15","164.78","164.86","164.83","50,932","83,95,225.89","385","41,973","82.41"
"KOTAKNIFTY","EQ","18-Jun-2021","164.86","150.00","165.58","150.00","165.15","164.83","163.74","20,483","33,53,935.27","474","11,409","55.70"
"KOTAKNIFTY","EQ","21-Jun-2021","164.83","164.00","165.37","162.89","165.37","165.24","163.84","29,303","48,01,044.26","522","11,128","37.98"
"KOTAKNIFTY","EQ","22-Jun-2021","165.24","166.30","166.50","165.10","165.10","165.29","166.18","1,09,242","1,81,53,551.69","444","27,436","25.11"
"KOTAKNIFTY","EQ","23-Jun-2021","165.29","175.20","175.20","164.59","164.81","164.74","165.27","17,233","28,48,162.07","353","10,463","60.71"
"KOTAKNIFTY","EQ","24-Jun-2021","164.74","165.17","165.92","164.97","165.92","165.75","165.26","13,666","22,58,403.64","336","10,222","74.80"
"KOTAKNIFTY","EQ","25-Jun-2021","165.75","180.70","180.70","165.45","166.13","166.36","165.87","90,099","1,49,44,357.42","378","40,423","44.87"
"KOTAKNIFTY","EQ","28-Jun-2021","166.36","166.00","167.11","165.72","166.15","165.97","166.23","23,046","38,30,899.63","397","16,269","70.59"
