Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
KOTAKNIFTY,EQ,26-May-2023,195.52,196.24,197.58,195.87,197.56,197.48,196.71,61706,"1,21,38,056.99",382,55836,90.49
KOTAKNIFTY,EQ,29-May-2023,197.48,197.76,199,197.76,198.23,198.38,198.63,41331,"82,09,620.49",516,28176,68.17
KOTAKNIFTY,EQ,30-May-2023,198.38,199.14,199.15,198.14,199.08,199,198.78,15769,"31,34,553.70",317,9435,59.83
KOTAKNIFTY,EQ,31-May-2023,199,198.96,198.96,197.62,198.46,198.31,198.27,18270,"36,22,389.08",381,12840,70.28
KOTAKNIFTY,EQ,01-Jun-2023,198.31,199.02,199.02,197.13,197.21,197.3,198.15,14238,"28,21,310.79",337,11187,78.57
KOTAKNIFTY,EQ,02-Jun-2023,197.3,198.89,198.89,197.42,198,197.98,198.27,12500,"24,78,386.49",412,5836,46.69
KOTAKNIFTY,EQ,05-Jun-2023,197.98,199.14,199.4,198.51,198.99,198.71,199,26864,"53,45,836.13",528,17494,65.12
KOTAKNIFTY,EQ,06-Jun-2023,198.71,199.3,199.3,198.08,198.86,198.79,198.75,12736,"25,31,341.82",313,9742,76.49
KOTAKNIFTY,EQ,07-Jun-2023,198.79,198.8,200.46,198.8,200.19,200.3,200.1,"2,69,058","5,38,39,222.81",483,"2,51,174",93.35
KOTAKNIFTY,EQ,08-Jun-2023,200.3,200.72,201.02,199,199,199.25,199.58,"5,38,153","10,74,06,741.97",1249,"5,28,024",98.12
KOTAKNIFTY,EQ,09-Jun-2023,199.25,199.2,200.99,198.31,198.51,198.53,198.86,19469,"38,71,603.00",319,17557,90.18
KOTAKNIFTY,EQ,12-Jun-2023,198.53,200.89,200.89,198.4,198.64,198.81,198.71,15783,"31,36,167.60",499,13584,86.07
KOTAKNIFTY,EQ,13-Jun-2023,198.81,199.32,200.1,199.32,199.9,200.02,199.88,33539,"67,03,770.05",294,32455,96.77
KOTAKNIFTY,EQ,14-Jun-2023,200.02,200.02,201.5,199.76,200.58,200.36,200.24,12987,"26,00,482.40",353,12038,92.69
KOTAKNIFTY,EQ,15-Jun-2023,200.36,200.37,201,199.69,199.87,199.89,200.46,15687,"31,44,548.42",505,11793,75.18
KOTAKNIFTY,EQ,16-Jun-2023,199.89,199.99,201.74,199.99,200.67,201.18,200.89,36029,"72,38,021.58",513,32398,89.92
KOTAKNIFTY,EQ,19-Jun-2023,201.18,201.18,202,200.11,201.05,200.54,201.01,30337,"60,98,132.07",465,19587,64.56
KOTAKNIFTY,EQ,20-Jun-2023,200.54,200.45,201.73,199.58,201.13,201.56,200.49,27309,"54,75,073.21",466,15064,55.16
KOTAKNIFTY,EQ,21-Jun-2023,201.56,201.9,202.12,201.14,201.5,201.58,201.72,13628,"27,49,021.00",445,7180,52.69
KOTAKNIFTY,EQ,22-Jun-2023,201.58,202.2,202.2,200.77,200.9,200.85,201.42,21865,"44,04,003.39",374,16209,74.13
KOTAKNIFTY,EQ,23-Jun-2023,200.85,201.16,201.16,199.7,200,199.94,200.16,8916,"17,84,582.81",340,5468,61.33
KOTAKNIFTY,EQ,26-Jun-2023,199.94,199.94,201.75,199.67,199.71,200,200.07,9993,"19,99,278.04",381,6228,62.32
KOTAKNIFTY,EQ,27-Jun-2023,200,200,201.3,200,201.3,201.17,200.68,22738,"45,63,132.04",373,16292,71.65
KOTAKNIFTY,EQ,28-Jun-2023,201.17,201.17,203.09,201.15,202.34,202.44,202.45,33423,"67,66,424.96",427,30866,92.35
KOTAKNIFTY,EQ,30-Jun-2023,202.44,202.44,205.25,202.44,204.22,205.09,204.57,89698,"1,83,49,072.09",760,83649,93.26
KOTAKNIFTY,EQ,03-Jul-2023,205.09,207.8,211.25,205.09,206.5,206.41,206.19,51010,"1,05,17,687.42",771,38029,74.55
KOTAKNIFTY,EQ,04-Jul-2023,206.41,206.64,208.14,206.28,207.27,207.11,206.89,36843,"76,22,351.50",438,18100,49.13
KOTAKNIFTY,EQ,05-Jul-2023,207.11,207.11,208.2,206.9,206.97,207.13,207.39,66613,"1,38,15,124.84",408,61555,92.41
KOTAKNIFTY,EQ,06-Jul-2023,207.13,207.52,208.59,207.18,208.14,208.39,208.22,25608,"53,32,020.57",384,21585,84.29
KOTAKNIFTY,EQ,07-Jul-2023,208.39,208.38,208.99,206.42,207.25,206.59,207.17,"7,50,468","15,54,71,206.56",493,"7,36,526",98.14
KOTAKNIFTY,EQ,10-Jul-2023,206.59,207.99,207.99,206.01,207.33,207.09,207.46,51927,"1,07,72,518.64",598,48700,93.79
KOTAKNIFTY,EQ,11-Jul-2023,207.09,211.23,211.23,206.55,208,208.01,208.29,53059,"1,10,51,432.96",394,38660,72.86
KOTAKNIFTY,EQ,12-Jul-2023,208.01,208.77,208.79,207.42,207.96,207.62,207.95,21979,"45,70,506.12",337,13915,63.31
KOTAKNIFTY,EQ,13-Jul-2023,207.62,208.65,209.44,207.25,207.37,207.72,208.51,28864,"60,18,521.46",364,23123,80.11
KOTAKNIFTY,EQ,14-Jul-2023,207.72,207.4,209.55,207.4,209.47,209.12,208.31,33930,"70,67,832.74",367,22918,67.54
KOTAKNIFTY,EQ,17-Jul-2023,209.12,210,211.9,209.01,211.75,210.66,210.3,45282,"95,22,944.64",662,40507,89.45
KOTAKNIFTY,EQ,18-Jul-2023,210.66,210.4,212.3,210.4,211.6,211.34,211.15,47275,"99,81,997.06",481,36885,78.02
KOTAKNIFTY,EQ,19-Jul-2023,211.34,211.01,212.3,211.01,212.3,211.92,211.77,38494,"81,51,808.75",436,32179,83.59
KOTAKNIFTY,EQ,20-Jul-2023,211.92,213.75,213.75,210.25,212.36,212.59,212.11,22187,"47,05,994.64",411,17346,78.18
KOTAKNIFTY,EQ,21-Jul-2023,212.59,212.59,212.85,211,211.25,211.9,211.93,26007,"55,11,543.17",441,21445,82.46
KOTAKNIFTY,EQ,24-Jul-2023,211.9,218.25,218.25,209.51,210,210.57,210.18,"5,00,367","10,51,68,505.33",1010,"2,15,934",43.16
KOTAKNIFTY,EQ,25-Jul-2023,210.57,212,212.06,209.88,210.13,210.24,210.34,12789,"26,90,011.63",302,9145,71.51
KOTAKNIFTY,EQ,26-Jul-2023,210.24,210.25,212,210.25,211.6,211.51,211.27,67185,"1,41,94,364.98",312,46812,69.68
KOTAKNIFTY,EQ,27-Jul-2023,211.51,211.51,213.45,210.1,211.06,210.42,211.11,16577,"34,99,627.54",368,11431,68.96
KOTAKNIFTY,EQ,28-Jul-2023,210.42,210.59,210.61,209.42,210.27,210.34,209.9,21679,"45,50,459.16",419,19047,87.86
KOTAKNIFTY,EQ,31-Jul-2023,210.34,212.25,212.25,208.33,211.35,211.16,210.74,10670,"22,48,560.35",399,7245,67.9
KOTAKNIFTY,EQ,01-Aug-2023,211.16,211.11,212.99,210.88,211.1,211.24,211.2,28522,"60,23,819.88",365,27077,94.93
KOTAKNIFTY,EQ,02-Aug-2023,211.24,212.9,212.9,209.13,210,209.71,209.64,52085,"1,09,19,247.40",602,46090,88.49
KOTAKNIFTY,EQ,03-Aug-2023,209.71,211.45,211.45,207.4,208.1,208.11,208.02,47858,"99,55,228.78",557,41953,87.66
KOTAKNIFTY,EQ,04-Aug-2023,208.11,209.89,209.89,208.1,209.66,209.58,209.02,19137,"40,00,025.86",300,9831,51.37
KOTAKNIFTY,EQ,07-Aug-2023,209.58,209.58,210.48,208.98,209.91,209.9,209.59,17207,"36,06,461.68",472,8927,51.88
KOTAKNIFTY,EQ,08-Aug-2023,209.9,210.42,210.5,209.22,209.88,209.86,209.98,5253,"11,03,042.72",286,3141,59.79
KOTAKNIFTY,EQ,09-Aug-2023,209.86,210,211.79,208.36,210.7,210.08,209.31,22218,"46,50,342.29",337,20243,91.11
KOTAKNIFTY,EQ,10-Aug-2023,210.08,211.75,211.75,208.66,210,209.97,209.82,13130,"27,54,946.74",354,8992,68.48
KOTAKNIFTY,EQ,11-Aug-2023,209.97,211.35,211.35,208.67,208.89,208.89,209.04,15222,"31,82,011.43",309,13514,88.78
KOTAKNIFTY,EQ,14-Aug-2023,208.89,208.32,209.04,206.71,208.9,208.79,208.02,22351,"46,49,542.73",560,20052,89.71
KOTAKNIFTY,EQ,16-Aug-2023,208.79,208,209.32,207.5,209.1,209.1,208.25,19402,"40,40,549.96",480,12812,66.03
